,Unnamed: 0,Names,Links
23,23,DireTube Music,https://www.youtube.com/channel/UCI3tQuHoEozHuyZgdNs10QA/videos
24,24,DJ Daniel,https://www.youtube.com/channel/UCxGZ4j4QfdTdN9SopxfPkjw/videos
25,25,DJ SPEEDY ENTERTAINMENT,https://www.youtube.com/user/filfilu/videos
26,26,Doju Melody,https://www.youtube.com/channel/UCohNDcvTBEG2KLzKRLoVDdQ/videos
27,27,East African Media,https://www.youtube.com/c/EastAfricanMedia/videos
28,28,ELLA RECORDS,https://www.youtube.com/c/ELLARECORDS/videos
29,29,enKOKow,https://www.youtube.com/user/enkokow/videos
30,30,Erka Tube,https://www.youtube.com/user/Ermionline1/videos
31,31,ethio channel,https://www.youtube.com/user/channelsite1/videos
32,32,Ethio Melodies,https://www.youtube.com/channel/UC807xOkuk-_tKrhoZUJHx_g/videos
33,33,EthioVideos.Com,https://www.youtube.com/user/EthioVideosCom/videos
34,34,Ethiopian Music,https://www.youtube.com/channel/UC1fGMAwrW6I00HBfTruGIPQ/videos
35,35,Ethiopian Music,https://www.youtube.com/c/EthioVibe/videos
36,36,Ethiopian TV,https://www.youtube.com/user/ethiopiantv/videos
37,37,ETHIOS HIPHOP COMMUNITY |ኢትዮስ ሂፕሆፕ ኮሚዩኒቲ,https://www.youtube.com/c/EthiosHipHopCommunity/videos
38,38,Evangadi Production,https://www.youtube.com/user/djdannyevangadi/videos
39,39,Fenthun Belete,https://www.youtube.com/c/FenthunBelete/videos
40,40,Firma,https://www.youtube.com/c/Firmamusic/videos
41,41,Focus Ethiopian,https://www.youtube.com/results?search_query=Shewit+Mezgebo/videos
42,42,G O L A G U L,https://www.youtube.com/c/GOLAGUL/videos
43,43,GiZE TIGRIGNA ENTERTAINMENT,https://www.youtube.com/channel/UCngwweLcJLPUZGtS8UPAazg/videos
44,44,Gojo Media,https://www.youtube.com/c/GojoMediaEthiopia/videos
45,45,Golden Ethio Music,https://www.youtube.com/c/GoldenEthioMusic/videos
46,46,Habesha Music Ethiopia,https://www.youtube.com/c/HabeshaMusicEthiopia/videos
47,47,Habesha Times,https://www.youtube.com/c/HabeshaTimes/videos
48,48,Habesha Zefen,https://www.youtube.com/channel/UChzl6ytI8_5OK6Z5S2MJanw/videos
49,49,Habtom Zeru,https://www.youtube.com/user/habtom6/videos
50,50,Heni Tube,https://www.youtube.com/channel/UCaBzuQqfaZi3zV4KFO_v4cQ/videos
51,51,High Music,https://www.youtube.com/c/HighMusicOriginal/videos
52,52,Hiriya Pictures,https://www.youtube.com/c/HiriyaPictures/videos
53,53,Holy Beat Sound,https://www.youtube.com/channel/UCy0nsKCDJHtnrNa_yamixPw/videos
54,54,Hope Music Entertainment,https://www.youtube.com/channel/UCgdecrMD1EfiqFL_jlnPxvg/videos
55,55,Ilaamee Records,https://www.youtube.com/c/IlaameeRecords/videos
56,56,Jossy in Z House,https://www.youtube.com/channel/UCczO7GJI_D3MN6tpYbmGgCQ/videos
57,57,JTV Ethiopia,https://www.youtube.com/channel/UCb0zOwxJBgSvuFqjeinNfiw/videos
58,58,KanaTunes,https://www.youtube.com/c/KanaTunes/videos
59,59,kebero Entertainment,https://www.youtube.com/channel/UCYPAw4pU_bssSgGXItENxew/videos
60,60,Keenyaa Entertainment,https://www.youtube.com/c/KeenyaTube/videos
61,61,Kinet Zehiyaw ኪነት ዘህያው,https://www.youtube.com/channel/UCF-xJJDAZrOFJ3ZzcaS7wSw/videos
62,62,Laangaano Tube,https://www.youtube.com/c/LaangaanoTube/videos
63,63,Legend Entertainment,https://www.youtube.com/c/EthioOneLove/videos
64,64,Lele Entertainment,https://www.youtube.com/channel/UCFdwE0TMi2gXugXEQ8SKrMA/videos
65,65,Liham Melody,https://www.youtube.com/c/LihamMelody/videos
66,66,Liibaan Jama,https://www.youtube.com/c/LiibaanJama/videos
67,67,Lij Eyasu Ze ራያ,https://www.youtube.com/channel/UCIOzgQJyCYRI4Bbxa21iQtw/videos
68,68,LOMI MUSIC,https://www.youtube.com/channel/UCku3A95zIsciHKTK7iHT25Q/videos
69,69,Maelaf Entertainment,https://www.youtube.com/channel/UCWFcjPV9U8WQzJlJFnRDU4g/videos
70,70,Mafi ያ Tube,https://www.youtube.com/channel/UCreW08cZBfocETjQfcVgjHQ/videos
71,71,MELA TV,https://www.youtube.com/c/MELATVPRO/videos
72,72,Malefya Entertainment,https://www.youtube.com/channel/UCRogl1jRsXRHn4vY1iz63QA/videos
73,73,MDM Films,https://www.youtube.com/user/mikideleaable/videos
74,74,Meaza Tube - መዓዛ ቱዩብ,https://www.youtube.com/channel/UCp9N2cL2yvLrE54EBQzPmcQ/videos
75,75,Meedo Records,https://www.youtube.com/channel/UCDWOeGAwPNWC4lvsNEJlOQA/videos
76,76,MEGARYA Entertainment,https://www.youtube.com/channel/UC-Zcld_yldnjHwF3kFBd7Bw/videos
77,77,MIDO MUSIC,https://www.youtube.com/c/MIDOMusics/videos
78,78,Minew Shewa Entertainment,https://www.youtube.com/channel/UCCYbR92tg8ZVr34p0BFHbtw/videos
79,79,MTV HABESHA,https://www.youtube.com/channel/UC5fsFDWTpBgJrMm8gCZaeHg/videos
80,80,Nabana Entertainment,https://www.youtube.com/c/EdenGebreselasieAbrehamGebremedhin/videos
81,81,Nahom Records,https://www.youtube.com/channel/UCeBWIR6qAv2itoiDWO4FHow/videos
82,82,NarelArt,https://www.youtube.com/user/NarelArt/videos
83,83,NatiMedia,https://www.youtube.com/c/NatiMedia/videos
84,84,NBN Records,https://www.youtube.com/channel/UCmXTUeswujfmi_EGafjXnpw/videos
85,85,News ET Social,https://www.youtube.com/c/DiretubeOfficial/videos
86,86,News ET ዜና Oduu,https://www.youtube.com/c/DiretubePlus/videos
87,87,Nuro Bezede ኑሮ በዘዴ,https://www.youtube.com/channel/UCuWzdxLv8aVD-Lhx6tuF6fQ/videos
88,88,One Zefen,https://www.youtube.com/channel/UCXroWaT23xjIuoGZX3UxkoQ/videos
89,89,Oro Music Studio,https://www.youtube.com/channel/UCl-amC2HkDMA4yKvW0HrHng/videos
90,90,OROMIA ENTERTAINMENT,https://www.youtube.com/channel/UCJt55Fg4sFuO5RimeGbkX4Q/videos
91,91,Oromia Total,https://www.youtube.com/channel/UC6eWVfAgiXOB7KFhXGjKF8A/videos
92,92,Oromp3,https://www.youtube.com/c/Oromp3/videos
93,93,oromusics,https://www.youtube.com/channel/UCCGHMtYsv1X6mKypGTcwDow/videos
94,94,Perseverance Media || ጽንዓት ሚድያ,https://www.youtube.com/channel/UCfjfZYeTrop4aet_4KPLFfg/videos
95,95,PUNT MEDIA,https://www.youtube.com/c/PUNTMEDIA2021/videos
96,96,Roha ሮሃ Tube,https://www.youtube.com/channel/UCNDEO9w6wqviX368dFWKdEg/videos
97,97,SamRak Entertainment,https://www.youtube.com/c/SamRakEntertainment/videos
98,98,SEMAY ENT.,https://www.youtube.com/c/SEMAYENT/videos
99,99,SHEBAWU,https://www.youtube.com/channel/UCo_EtDPmASP8DYLRdQw1QaQ/videos
100,100,Shakura Records,https://www.youtube.com/channel/UCD1XlLaBGQ83lXPAGAifzrQ/videos
101,101,Shega Media | ሸጋ ሚዲያ,https://www.youtube.com/c/Shegamedia/videos
102,102,Shire Tube ሽረ ትዩብ,https://www.youtube.com/c/ShireTubeMedia/videos
103,103,Show hut,https://www.youtube.com/c/Showhut11/videos
104,104,Sigma Entertaiment and Events p.l.c,https://www.youtube.com/channel/UCaXneYGkqy4uR94-T8KxcNw/videos
105,105,Star TV,https://www.youtube.com/channel/UCnowC2m_NjWexnSRvMMYxSg/videos
106,106,Studio 30,https://www.youtube.com/channel/UCEybqps4rJQCtpM2Q1v4j3g/videos
107,107,TBA MUSIC,https://www.youtube.com/c/TBAMUSIC_tba/videos
108,108,TEDRO ENTERTAINMENT,https://www.youtube.com/user/thehahu1/videos
109,109,tedros teshome,https://www.youtube.com/channel/UChbLHAFZkO1emhYGYpZv2Pw/videos
110,110,Tibebu Tube,https://www.youtube.com/channel/UCnXmRmxtEmHFrj8ArE_nkCA/videos
111,111,Tigrai Media House,https://www.youtube.com/c/TigraiMediaHouse/videos
112,112,Tigrigna Entertainment,https://www.youtube.com/channel/UCF4_SSZ9QvQLZkDPD4opo2A/videos
113,113,Tigrigna Music Official,https://www.youtube.com/channel/UC6tnSE8WCMl5a87nv0lL8kA/videos
114,114,Tr Promotion Tr Ethio Music,https://www.youtube.com/c/TrPromotionTrEthioMusicofficial/videos
115,115,Urban Productions,https://www.youtube.com/channel/UCY8IeedS0KN1YfodExZa-kA/videos
116,116,Vision Entertainment,https://www.youtube.com/channel/UCUMRvDa74KYAovuMM21_Iag/videos
117,117,Wanaw Team,https://www.youtube.com/c/WanawTeam/videos
118,118,wedimesebo,https://www.youtube.com/user/wedimesebo/videos
119,119,Wollo Entertainment,https://www.youtube.com/channel/UCDLBoIcJ3dmVrIfFEIBI-wQ/videos
120,120,Yared Papi,https://www.youtube.com/channel/UCDeuDh36P4j_Fjg_hHlsd1Q/videos
121,121,Yasin Kadir,youtube.com/channel/UCwFYaC-sx2Qz30oyjhmwrng/videos
122,122,Yegara Media,https://www.youtube.com/channel/UCpxE_WIP8_bWQGndOwSoOdQ/videos
123,123,YEHA MUSIC,https://www.youtube.com/c/YEHAMUSIC/videos
124,124,YINAHE ENTERTAINMENT,https://www.youtube.com/channel/UCtt_iESClyw5mkgAJLvNkbA/videos
125,125,YFT Star,https://www.youtube.com/c/YohaniPhotography/videos
126,126,zaegol,https://www.youtube.com/channel/UC2X-F1N7BUsIE5kXha2zYUw/videos
127,127,Zagol Films Pro.,https://www.youtube.com/user/toddethio/videos
128,128,ZALAMBESSA ENTERTAINMENT,https://www.youtube.com/channel/UC6suHa114zRPKpAblrjv7fw/videos
129,129,Zara Yegna Tube,https://www.youtube.com/c/ZaraYegnaTube/videos
130,130,Zehabesha Tube,https://www.youtube.com/user/ZehabeshaTube/videos
131,131,zelalem meko,https://www.youtube.com/channel/UCikuIDJoTfodVgf1g_T79LA/videos
132,132,ZEMA Entertainment,https://www.youtube.com/channel/UCHYaAKN8tpObSQA6fC-dX-g/videos
133,133,ZemaYared Record Label,https://www.youtube.com/user/ciss4life/videos
134,134,Zemen Music Entertainment,https://www.youtube.com/c/ZemenMusicEntertainment/videos
135,135,Znar Entertainment,https://www.youtube.com/c/ZnarEntertainment/videos
136,136,דאבל הפקות Double production,https://www.youtube.com/channel/UCh5sLa0f74B0HC1TEQlZNBg/videos
137,137,መረቅ ሚዲያ,https://www.youtube.com/c/%E1%88%98%E1%88%A8%E1%89%85%E1%88%9A%E1%8B%B2%E1%8B%AB/videos
138,138,ማሲንቆ ቱዩብ - Masenqo Tube,https://www.youtube.com/c/mogesk/videos
139,139,ኣንጎዕይ Channal 1,https://www.youtube.com/channel/UCmhruY45smt3p5AuWxPhIdg/videos
140,140,ፓፒራ Media,https://www.youtube.com/channel/UCrnEZO6JLNmt-9O8I1uv08Q/videos
141,141,ሸዋ ትበርሂ Shewa Tiberhi,https://www.youtube.com/channel/UClLp3iwM8LjFfOHcfjSJE3w/videos
142,142,ሙዚቃ,https://www.youtube.com/channel/UCSHKhpaJyphR8lg8YBy70Xw/videos
143,143,ስብጥር,https://www.youtube.com/channel/UCGycP9_ZV6mSNnqBM3FpgHA/videos
144,144,Abby Lakew,https://www.youtube.com/c/AbbyLakewmusic/videos
145,145,Abdu Kiar,youtube.com/channel/UCxtE9b57EXS7vmsmKiZjEcw/videos
146,146,Abinet Agonafir,https://www.youtube.com/channel/UCbg9Qsz-JWDu_p60NOAQsnA/videos
147,147,Abyssiniya Vine,https://www.youtube.com/c/AbyssiniyaVine/videos
148,148,AHADU አሐዱ,https://www.youtube.com/channel/UC32BS7dHWwgdjvVSYnaNwyw/videos
149,149,Alemye Getachew,https://www.youtube.com/results?search_query=Alemye+Getachew/videos
150,150,Aman Kiyamo,https://www.youtube.com/channel/UCrykZdJPvsg8X7QOd0vgVrg/videos
151,151,Andegna አንደኛ,https://www.youtube.com/channel/UCrsuqjIP8Wjbv8zBO7xIykg/videos
152,152,Art Farhaan Baddeeysaa,https://www.youtube.com/c/FARAANSTUDIO/videos
153,153,Aster Aweke,https://www.youtube.com/channel/UCQShiG4nCLLQ4shT2cYplVg/videos
154,154,Ayovi,https://www.youtube.com/channel/UCLRH_jLrebgIBl-cR-BlY2w/videos
155,155,Bezawit Getachew,https://www.youtube.com/channel/UCieSQQJBmLwljg5u_3g1paQ/videos
156,156,Blén,https://www.youtube.com/user/1560sandi/videos
157,157,Buze Man Music,https://www.youtube.com/results?search_query=Buze+Man/videos
158,158,Chelina Official,https://www.youtube.com/channel/UCZhJMaaKrKt5SvTJbm87RoA/videos
159,159,dagdanielmusic,https://www.youtube.com/channel/UCvBKo0IjHFxxdpjHn2V-Zzw/videos
160,160,Efrem Ayzohbelew,https://www.youtube.com/c/EfremAyzohbelew/videos
161,161,Eyerusalem Asfaw,https://www.youtube.com/channel/UCtBbN_Zqg6LUmNM2yAO5F7Q/videos
162,162,Eyerusalem Negiya Official channel,https://www.youtube.com/channel/UCfDm9KT5NCiY9X_scwSqP_A/videos
163,163,Fekadu Girma Arada,https://www.youtube.com/channel/UCa1QW40kQMyx4wa4z9U-zfg/videos
164,164,Fikeraddis Nekatibeb,https://www.youtube.com/channel/UCNxCXR6lL5hpZU_a6OIA0VA/videos
165,165,Gossaye Tesfaye,https://www.youtube.com/channel/UC6gAXYKyytaF6Yck-4djjZg/videos
166,166,Hade Haile,https://www.youtube.com/user/hadehaile/videos
167,167,Haile Roots,https://www.youtube.com/channel/UCFqxseE5eyOzaakJWj05nJw/videos
168,168,Hamelmal Abate,https://www.youtube.com/channel/UCddm4ePEJcTZ1lxGNIzsLfA/videos
169,169,Hanna Girma,https://www.youtube.com/channel/UCZMAoygCle4kujrtNKQ0JZA/videos
170,170,HelenBerheVEVO,https://www.youtube.com/channel/UCkp9Xfg1Unv7C3ln7EJQo5A/videos
171,171,Iri Di,https://www.youtube.com/channel/UCfELrL0yF6bGunMYHHUjOEQ/videos
172,172,jacky gosee,https://www.youtube.com/channel/UCC35ZeMk6Rn9Kw2WHnU2PQA/videos
173,173,Jacky Gosee official,https://www.youtube.com/channel/UCTmIf0Z-vKoDWFzfN_gAlqA/videos
174,174,Jah Lude,https://www.youtube.com/channel/UCczO7GJI_D3MN6tpYbmGgCQ/videos
175,175,Jano Band,https://www.youtube.com/user/RockTheWorldMusic/videos
176,176,Jordan & Bek Ge'ez,https://www.youtube.com/channel/UCEFC6LAyWfVYcYJ5SwGHa0g/videos
177,177,Kapo the kapstone,https://www.youtube.com/channel/UCt1fl1NRmwvNMUieLivI_Uw/videos
178,178,Kassmasse ካሥማሠ,https://www.youtube.com/channel/UC6Qpm7q6sDxwOuyXUW8UT2A/videos
179,179,lij mic official,https://www.youtube.com/c/lijmic/videos
180,180,M i C S O L O,https://www.youtube.com/channel/UC6s-1uL8n2avD7Fh56Sv7mQ/videos
181,181,MegaBlacky2010,https://www.youtube.com/user/MegaBlacky2010/videos
182,182,Merkeb Bonitua,https://www.youtube.com/channel/UC4_wkVJU_RmkxdShJKnacLg/videos
183,183,Michael Belayneh,https://www.youtube.com/channel/UCGxHpKDnoEFxqSDJx0_MdqA/videos
184,184,MikeSoloVEVO,https://www.youtube.com/user/MikeSoloVEVO/videos
185,185,Miko Mikee,https://www.youtube.com/c/MikoMikee/videos
186,186,Nhatty Man,https://www.youtube.com/c/NhattyMan/videos
187,187,NURE JARIGAMA,https://www.youtube.com/channel/UCa07nk61bEv1L1rIi2klSNg/videos
188,188,Offical Sofia Shibabaw,https://www.youtube.com/c/OfficalSofiaShibabaw/videos
189,189,PAPAWEWA,https://www.youtube.com/channel/UCU8Wn5ZQswOlZHXMD_mTtXA/videos
190,190,Qexu Musika,https://www.youtube.com/channel/UCSUCK9NLgO4ipceJKu3Xorg/videos
191,191,Roba Junior / ሮባ ታደለ ሮባ,https://www.youtube.com/c/RobaJuniorRobaTadeleRoba/videos
192,192,ROBEL,https://www.youtube.com/channel/UCfRbzlS9_49428LAmrxfmyQ/videos
193,193,Rophnan,https://www.youtube.com/c/Rophnan/videos
194,194,Sancho Gebre,https://www.youtube.com/c/SanchoGebre/videos
195,195,Sayat Demissie,https://www.youtube.com/channel/UCFVyjZwz72lDBrxsunvgCtw/videos
196,196,SHASH TV (Daggyshash),https://www.youtube.com/channel/UCM8nvbcIUTWfSgIGVSS6hKQ/videos
197,197,Skat nati,https://www.youtube.com/channel/UCtKFhpsVWq2OdP0jty1EGxQ/videos
198,198,Smply Tmy,https://www.youtube.com/channel/UCZ-6ntHiK7lYKxqeULP106A/videos
199,199,Sofia Shibabaw,https://www.youtube.com/channel/UCf8pbNiybFJx_zvNScuhb6Q/videos
200,200,Solomon Haile,https://www.youtube.com/channel/UCgO71-fiNM34W9ORlWACLKw/videos
201,201,Teddy Afro,https://www.youtube.com/c/TeddyAfroOfficial/videos
202,202,Tsedi Music,https://www.youtube.com/channel/UCC-3GX9cnQsB8aW5ZJx9BIA/videos
203,203,Tsehay Yohannes,https://www.youtube.com/channel/UCq8YDtzNKV9nOVwGF_vakiQ/videos
204,204,Veronica Adane,https://www.youtube.com/channel/UCfpttsgc_FkvxZrI8_wuuCA/videos
205,205,Wedi Kokob,https://www.youtube.com/channel/UCwDc_xndGwyEsW6CFAZ1aJg/videos
206,206,Weeha,https://www.youtube.com/c/Weeha/videos
207,207,Wendi Mak,https://www.youtube.com/c/WendiMak/videos
208,208,Yegna,https://www.youtube.com/user/yegnaplayer/videos
209,209,Yigrem Assefa,https://www.youtube.com/channel/UCD99ld-To6HRK25yrDggh5w/videos
210,210,Yohana ዮሐና,https://www.youtube.com/c/Yohanaoriginal/videos
211,211,zeritu kebede,https://www.youtube.com/channel/UCvjLlsveJkYOHKzkTmhkQaw/videos
212,212,ዳዊት ፅጌ Dawit Tsige Official Channel,https://www.youtube.com/channel/UCgzuR2zpCI-Mcu4GCnsxiew/videos
